Order;Policy Short;Policy Component ;Policy Area;Ability to track and trace consignments, score (1=low to 5=high);Competence and quality of logistics services, score (1=low to 5=high);Ease of arranging competitively priced international shipments, score (1=low to 5=high);Efficiency of the clearance process, score (1=low to 5=high);Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high);Quality of trade- and transport-related infrastructure, score (1=low to 5=high);High-Income Economies;Upper-Middle-Income Economies;Lower-Middle Income Economies;Low-Income Economies;EAST ASIA AND PACIFIC;EUROPE AND CENTRAL ASIA;LATIN AMERICA AND THE CARIBBEAN;MIDDLE EAST AND NORTH AFRICA;NORTH AMERICA;SOUTH ASIA;SUB-SAHARAN AFRICA;Cereals (excluding beer);Dairy products;Fruit and Vegetables (including bananas);Meat;Oilseeds and Pulses (including nuts);Roots and Tubers;Farm;Food Services;Harvest;Households;Post-harvest;Processing;Retail;Storage;Trader;Transport;Whole supply chain;Wholesale;Benefits;Risks;Author;Source
64;Certification to green logistics standards;Assists the certification of firms and products to global environmental standards.;Developing Niche Logistics (Infrastructures and Services Promoting Sustainable Comparative Advantages);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Improve environmental impacts of logistics. Certified carriers (less emissions; energy efficiency). Certified distribution facilities (energy efficiency; lower footprint). Reduces material losses.";Compliance and certification costs.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
65;Cold chain logistics;Develop capabilities to handle refrigerated cargo.;Developing Niche Logistics (Infrastructures and Services Promoting Sustainable Comparative Advantages);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;Promotes high-value exports of perishables (fish, meat, fruits, vegetables, flowers, etc.) on global markets in reefers. Ensures higher quality exports and less waste.;Maintaining the integrity of the cold chain.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
66;Transloading facility / Platform;Provides facilities to load or unload commodities in containers.;Developing Niche Logistics (Infrastructures and Services Promoting Sustainable Comparative Advantages);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Promotes specialized commodity exports. Expand market opportunities for small and medium-sized producers.;Fluctuations in the commodity markets.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
67;Reverse logistics;Develop recycling and reuse supply chains.;Developing Niche Logistics (Infrastructures and Services Promoting Sustainable Comparative Advantages);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Improves efficient recovery of recycled materials. Develop and expand the national recycling industry. Help meet sustainability goals.;Impact on national resource providers.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
68;Rationalization of deliveries;Change the conditions in which urban deliveries take place (time of day, area, access to parking).;Improving Last Mile Logistics (City Logistics);0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;Improves use of existing transport assets. Matches trip sequences (deliveries and pickups). Reduces congestion.;Additional delivery costs and delays.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
69;Urban freight facilities;Facilities adapted to urban freight distribution.;Improving Last Mile Logistics (City Logistics);0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;Promotes consolidation, sorting and deconsolidation in high density urban areas. Improves efficiency (time and energy) of urban deliveries. Supports the development of ecommerce.;Additional delivery costs and delays.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
70;Modal adaptation;Use vehicles suited for urban deliveries.;Improving Last Mile Logistics (City Logistics);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;Reduces congestion and energy consumption. Reduces disruptions on local communities.;Additional delivery costs and delays.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
71;;Offer Funding for States and Cities that Incentivizes Organic Waste Measurement, Rescue, Recycling, and Prevention (Administration, Congress);INVEST IN THE INFRASTRUCTURE TO MEASURE, RESCUE, RECYCLE, AND PREVENT ORGANIC WASTE FROM ENTERING LANDFILLS & INCINERATORS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
72;;Require the Development of Food Waste Measurement Planning and Transparency (EPA, Congress);INVEST IN THE INFRASTRUCTURE TO MEASURE, RESCUE, RECYCLE, AND PREVENT ORGANIC WASTE FROM ENTERING LANDFILLS & INCINERATORS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
73;;Build Demand for Compost (USDA, Congress);INVEST IN THE INFRASTRUCTURE TO MEASURE, RESCUE, RECYCLE, AND PREVENT ORGANIC WASTE FROM ENTERING LANDFILLS & INCINERATORS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
74;;Fund the Development of FLW Public-Private Partnerships (Congress);INVEST IN THE INFRASTRUCTURE TO MEASURE, RESCUE, RECYCLE, AND PREVENT ORGANIC WASTE FROM ENTERING LANDFILLS & INCINERATORS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
75;;Eliminate Restrictions and Barriers to Feeding of Food Scraps to Animals (USDA, FDA);INVEST IN THE INFRASTRUCTURE TO MEASURE, RESCUE, RECYCLE, AND PREVENT ORGANIC WASTE FROM ENTERING LANDFILLS & INCINERATORS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
76;;Expand the Federal Enhanced Tax Deduction for Food Donation to Include Non-Profit Sales and Transport (Congress);EXPAND INCENTIVES TO INSTITUTIONALIZE SURPLUS FOOD DONATION AND STRENGTHEN REGIONAL SUPPLY CHAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
77;;Enable Greater Food Donation by Farmers (Congress);EXPAND INCENTIVES TO INSTITUTIONALIZE SURPLUS FOOD DONATION AND STRENGTHEN REGIONAL SUPPLY CHAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
78;;Strengthen Liability Protections for Food Donation (Congress);EXPAND INCENTIVES TO INSTITUTIONALIZE SURPLUS FOOD DONATION AND STRENGTHEN REGIONAL SUPPLY CHAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
79;;Clarify Guidance on Food Safety for Donations (FDA, Congress);EXPAND INCENTIVES TO INSTITUTIONALIZE SURPLUS FOOD DONATION AND STRENGTHEN REGIONAL SUPPLY CHAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
80;;Continue to Create Alternative Market Channels for Producers and Consumers (USDA, Congress);EXPAND INCENTIVES TO INSTITUTIONALIZE SURPLUS FOOD DONATION AND STRENGTHEN REGIONAL SUPPLY CHAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
81;;Establish New Positions for Regional Supply Chain Coordinators at USDA (USDA, Congress);EXPAND INCENTIVES TO INSTITUTIONALIZE SURPLUS FOOD DONATION AND STRENGTHEN REGIONAL SUPPLY CHAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
82;;Commit to FLW Reduction as a Lever to Mitigate US Emissions (Administration);ASSERT THE US GOVERNMENT’S LEADERSHIP ON FLW GLOBALLY & DOMESTICALLY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
83;;Require Federal Facilities to Measure, Rescue, Recycle, and Prevent Organic Waste, and to Purchase Finished Compost Products (Administration, Congress);ASSERT THE US GOVERNMENT’S LEADERSHIP ON FLW GLOBALLY & DOMESTICALLY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
84;;Fund and Incentivize FLW Innovation (Congress);ASSERT THE US GOVERNMENT’S LEADERSHIP ON FLW GLOBALLY & DOMESTICALLY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
85;;Boost Funding for Food Waste Interagency Food Loss and Waste Collaboration (Congress);ASSERT THE US GOVERNMENT’S LEADERSHIP ON FLW GLOBALLY & DOMESTICALLY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
86;;Fund Research and Awareness Campaigns to Reduce Consumer Food Waste (Congress, USDA, EPA, FDA);EDUCATE AND ACTIVATE CONSUMERS VIA PRIVATE AND PUBLIC FOOD WASTE BEHAVIOR CHANGE CAMPAIGNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
87;;Pass the School Food Recovery Act (Congress);EDUCATE AND ACTIVATE CONSUMERS VIA PRIVATE AND PUBLIC FOOD WASTE BEHAVIOR CHANGE CAMPAIGNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
88;;Pass the Food Date Labeling Act (Congress);REQUIRE A NATIONAL DATE LABELING STANDARD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;US Food Loss & Waste Policy Action Plan for Congress & the Administration
89;;Cold Chain Management;PREVENTION SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Real-time monitoring of trucks, warehouses, and shipping containers could reduce waiting times and errors through RFID/sensors.;Lower sensor costs to less than $10 per pallet and improve effectiveness to meet needs of logistics providers.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
90;;Inventory Management;PREVENTION SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Half of the market does not utilize advanced inventory management systems today.;Target small- and medium-size customers through development of low-cost, flexible solutions.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
91;;Packaging Adjustments;PREVENTION SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consumers haven’t demanded adjustments, and modifications raise concerns about unintended consequences such as breakage.;Conduct consumer behavior research to identify core needs. Fund product R&D to pilot disruptive packaging such as edible films or nonstick bottles.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
92;;Spoilage Prevention Packaging;PREVENTION SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Applicability is limited to certain food types and types of storage.;Improve performance across a wider variety of food types and storage settings.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
93;;Waste Tracking & Analytics;PREVENTION SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Market penetration of solutions is small to date.;Minimize manual measurement through lowcost cameras and sensors and integration with inventory data.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
94;;Dynamic Store Merchandising;PREVENTION SOLUTIONS EMERGING TECHNOLOGIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;System costs are tremendous, relying on real-time price screens, strong inventory management systems, smart carts, and handheld devices.;Verify NPV through a retail pilot, and identify path to reduce costs. Experiment with locationbased mobile phone discounting to reduce total solution cost.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
95;;Smart Labeling;PREVENTION SOLUTIONS EMERGING TECHNOLOGIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The NPV of this solution has not been proven through the limited pilots to date.;Achieve labels that are cheap enough to drive a food-safety or waste-reduction value proposition when placed on the majority of perishables.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
96;;Value-Added Processing;RECOVERY SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Facilities are expensive and require large scale, reducing applicability for smaller recovery opportunities.;Develop distributed and mobile technologies, combined with new preservation technologies, to cost-effectively link processing on farms to businesses and recovery organizations;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
97;;Donation Transportation, Donation Storage & Handling;RECOVERY SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New infrastructure can be costly and limited in the amount of time it is actually in use.;Identify novel tools to allow for effortless sharing of existing, under-utilized infrastructure not currently linked to recovery networks.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
98;;Centralized AD;RECYCLING SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Additional labor cost is needed to depackage food, reducing the quantity and quality for recycling.;Scale down large depackaging technology to enable systems at every retailer and manufacturer location.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
99;;Home Composting;RECYCLING SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Current adoption is low due to poor designs, lack of space, and odors.;Achieve odor-free, beginner-level home composting systems for under $50 per unit.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
100;;Centralized Composting;RECYCLING SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Compostable packaging underperforms vs. industry standards and can decrease shelf life of perishables while costing 25% to 100% more.;Conduct R&D in compostable packaging to achieve products on par with conventional price and performance;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
101;;Animal Feed;RECYCLING SOLUTIONS BREAKTHROUGHS IN EXISTING SOLUTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Facilities currently rely on individual relationships.;Leverage sharing economy to create a network of waste generators and farms.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
102;;Small-Scale AD;RECYCLING SOLUTIONS EMERGING TECHNOLOGIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Biogas cleaning and electricity conversion is not economical at small business scale, utilization for heat is seasonal,74 and on-site handling of digestate is challenging for small businesses.7;Achieve transformational cost reductions to be commercially viable, which would drive massive collection cost reductions in lowdensity municipalities and rapid scale similar to distributed energy systems.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
103;;Collection;RECYCLING SOLUTIONS EMERGING TECHNOLOGIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Collection costs can make up 50% to 75% of the overall cost for collecting and processing food waste.;Develop new route optimization technology and new tools to reduce water weight of food scraps before or during transit.;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
104;Standardized Date Labeling;Standardizing food label dates and instructions, including eliminating “sell by” dates, to reduce consumer confusion;Packaging, Product, & Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
105;Packaging Adjustments;Optimizing food packaging size and design to ensure complete consumption by consumers and avoid residual container waste;Packaging, Product, & Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
106;Spoilage Prevention Packaging;Using active intelligent packaging to prolong product freshness and slow down spoilage of perishable fruit and meat;Packaging, Product, & Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
107;Produce Specifications (Imperfect Produce);Accepting and integrating the sale of off-grade produce (short shelf life, different size/ shape/ color), also known as “ugly” produce, for use in foodservice and restaurant preparation and for retail sale;Packaging, Product, & Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
108;Smaller Plates;Providing consumers with smaller plates in self-serve, all-you-can-eat dining settings to reduce consumer waste;Packaging, Product, & Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
109;Trayless Dining;Eliminating tray dining in all-you-can-eat dining establishments to reduce consumer waste;Packaging, Product, & Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
110;Waste Tracking & Analytics;Providing restaurants and prepared-food providers with data on wasteful practices to inform behavior and operational changes;Operational & Supply Chain Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
111;Cold Chain Management;Reducing product loss during shipment to retail distribution centers by using direct shipments and cold-chain-certified carriers;Operational & Supply Chain Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
112;Improved Inventory Management;Improvements in the ability of retail inventory management systems to track an average product’s remaining shelf-life (time left to sell an item) and inform efforts to reduce days on hand (how long an item has gone unsold);Operational & Supply Chain Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
113;Secondary Resellers;Businesses that purchase unwanted processed food and produce direct from manufacturers/distributors for discounted retail sale to consumers;Operational & Supply Chain Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
114;Manufacturing Line Optimization;Identifying opportunities to reduce food waste from manufacturing/ processing operations and product line changeovers;Operational & Supply Chain Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
115;Consumer Education Campaigns;Conducting large-scale consumer advocacy campaigns to raise awareness of food waste and educate consumers about ways to save money and reduce wasted food;Consumer Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
116;Donation Matching Software;Using a technology platform to connect individual food donors with recipient organizations to reach smaller-scale food donations;Donation Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
117;Donation Storage & Handling;Expanding temperature-controlled food distribution infrastructure (e.g. refrigeration, warehouses) and labor availability to handle (e.g. process, package) additional donation volumes;Donation Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
118;Donation Transportation;Providing small-scale transportation infrastructure for local recovery as well as long-haul transport capabilities;Donation Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
119;Value-Added Processing;Extending the usable life of donated foods through processing methods such as making soups, sauces, or other value-added products;Donation Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
120;Donation Liability Education;Educating potential food donors on donation liability laws;Donation Policy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
121;Standardized Donation Regulation;Standardizing local and state health department regulations for safe handling and donation of food through federal policy;Donation Policy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
122;Donation Tax Incentives;s Expanding federal tax benefits for food donations to all businesses and simplifying donation reporting for tax deductions;Donation Policy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
123;Centralized Anaerobic Digestion (AD);A series of biological processes in which microorganisms break down biodegradable material in the absence of oxygen resulting in two end products: biogas and digestate. There are many different AD technologies, including wet and dry versions, the latter being generally better suited for food waste mixed with yard waste.;Energy & Digestate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
124;Water Resource Recovery Facility (WRRF) with AD;"Delivering waste by truck or through existing sink disposal pipes to a municipal WRRF, where it is treated with anaerobic digestion; the biosolids can be applied to land for beneficial reuse";Energy & Digestate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
125;In-Vessel Composting;Composting at small scale at institutions or businesses with heat and mechanical power to compost relatively quickly (less than one month versus more than two months for windrow composting);On-Site Business Processing Solutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
126;Commercial Greywater;An on-site treatment technology, greywater aerobic digesters use combinations of nutrients or enzymes and bacteria to break food organics down until soluble, where it is flushed into the sewage system.;On-Site Business Processing Solutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
127;Community Composting;Transporting food from homes by truck, car, or bicycle to small, community, or neighborhood-level compost facilities that process 2,500 tons per year on average;Agricultural Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
128;Centralized Composting;Transporting waste to a centralized facility where it decomposes into compost;Agricultural Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
129;Animal Feed;Feeding food waste to animals after it is heat-treated and dehydrated and either mixed with dry feed or directly fed;Agricultural Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
130;Home Composting;"Keeping a small bin or pile for on-site waste at residential buildings to be managed locally; also known as “backyard composting”";Agricultural Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Roadmap to Reduce U.S. Food Waste by 20 Percent
131;;Control the spread of the virus and implement physical distancing to reduce fear among all labourers, including those working in food supply chains (FAO, 2020f);COVID-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Impacts of coronavirus on food security and nutrition in Asia and the Pacific: building more resilient food systems
132;;Expand social protection, in the short-term as part of countries’ economic stimulus measures, to cover more people and provide more generous benefits to ensure food access for all, while also reducing the administrative burden needed to access the funds (FAO, 2020g).;COVID-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Impacts of coronavirus on food security and nutrition in Asia and the Pacific: building more resilient food systems
133;;Governments should work together with the private sector to solve disruptions in food supply chains when they arise (FAO, 2020h).;COVID-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Impacts of coronavirus on food security and nutrition in Asia and the Pacific: building more resilient food systems
134;;Avoid export restrictions in international trade to make sure supply chains continue to function (FAO, 2020i).;COVID-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Impacts of coronavirus on food security and nutrition in Asia and the Pacific: building more resilient food systems
135;;Build resilience into food systems to safeguard them against future economic and health shocks as part of stimulus measures to ensure food access (FAO, 2020j).;COVID-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Impacts of coronavirus on food security and nutrition in Asia and the Pacific: building more resilient food systems
136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42 policies and actions to orient food systems towards healthier diets for all
